buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,n_games,actual_win_rate,avg_predicted_win_prob,roi,props,houses,hotels,turns
False,True,True,False,False,True,True,True,False,True,3,100,100,0.3,0.3492675477167947,4.187486666666667,7.26,1.05,1.22,177.01
True,False,True,True,True,True,False,False,True,True,3,50,100,0.35,0.34919134079414027,4.357726666666667,8.41,1.39,1.65,135.14
True,True,False,True,False,True,True,False,True,True,5,0,100,0.32,0.34896433551118916,3.85968,8.66,1.14,1.58,142.59
True,False,False,False,True,True,True,False,False,False,5,0,100,0.31,0.34859979380002104,3.8602266666666667,8.37,1.4,1.46,149.79
True,True,True,True,True,False,False,True,False,False,3,50,100,0.34,0.3484300932500932,3.65682,8.8,1.81,1.66,130.23
True,False,False,False,True,True,True,True,False,True,3,50,100,0.33,0.348358987891686,4.079026666666667,7.5,0.72,1.35,138.09
False,True,False,False,False,False,True,True,True,False,3,50,100,0.28,0.3483181358703053,4.008066666666667,6.87,1.22,1.1,152.18
True,False,False,True,True,True,True,False,False,False,5,0,100,0.32,0.3480373555175859,3.4180066666666664,7.8,1.62,1.43,149.4
True,True,True,False,False,True,False,True,False,False,3,0,100,0.3,0.34771023601627965,3.1976666666666667,7.43,1.54,1.57,139.19
False,True,False,True,False,True,False,False,False,True,5,0,100,0.35,0.3475424972314481,4.196226666666666,8.52,1.56,1.32,145.62
True,False,False,False,True,True,True,False,False,False,3,0,100,0.33,0.3474905087503481,3.8868,7.88,1.47,1.45,133.71
True,True,False,False,True,False,True,False,True,True,3,100,100,0.31,0.3471644299926361,3.5011533333333333,7.82,1.34,1.37,129.89
False,True,True,True,True,True,True,False,True,True,5,50,100,0.34,0.34680433581806214,3.5387333333333335,8.1,1.97,1.51,121.6
False,True,True,False,False,True,False,False,True,False,3,0,100,0.35,0.3465843340572039,4.037026666666667,8.43,1.44,1.71,137.83
False,True,True,True,True,False,False,False,True,False,5,50,100,0.34,0.3465783818462766,3.4968733333333337,8.91,1.75,1.87,145.64
False,True,True,True,False,False,False,False,False,False,5,100,100,0.38,0.3465165842680787,4.565086666666667,8.67,2.01,1.55,153.65
False,True,True,True,False,False,True,True,False,False,5,0,100,0.34,0.3462952611469748,3.9839533333333335,8.58,1.71,1.82,136.96
