buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,n_games,wins,avg_props,avg_houses,avg_hotels,avg_turns,raw_win_rate,smoothed_win_rate,predicted_win_rate
1,1,0,1,0,1,1,1,1,0,3,50,100,35,8.8,1.17,1.94,165.76,0.35,0.3451317153516643,0.26371546672538004
1,1,0,1,1,1,0,0,1,0,3,100,100,31,8.15,1.64,1.74,168.01,0.31,0.30703647725642624,0.2636801015552425
0,1,1,1,0,1,0,1,1,0,3,100,100,32,7.97,1.42,1.56,127.34,0.32,0.3165602867802358,0.26363219049065134
1,0,0,0,1,1,1,1,1,1,5,100,100,32,8.74,2.05,1.82,132.41,0.32,0.3165602867802358,0.26360073883520047
0,1,0,1,1,1,1,1,0,1,5,50,100,33,8.41,1.52,1.96,119.97,0.33,0.3260840963040453,0.26359425686500587
1,1,1,1,0,0,0,1,0,0,5,100,100,30,6.9,1.06,1.33,138.89,0.3,0.2975126677326167,0.2635871199737919
1,0,1,1,0,0,1,0,1,1,3,0,100,27,7.43,0.93,1.13,143.03,0.27,0.2689412391611882,0.26355899520936643
1,0,1,0,0,1,0,1,0,0,5,0,100,30,6.06,0.7,1.16,151.44,0.3,0.2975126677326167,0.263554781545637
1,1,0,1,0,1,1,1,0,1,3,50,100,36,9.28,2.32,2.02,151.11,0.36,0.35465552487547386,0.2635267037310905
0,1,1,1,0,1,0,1,1,0,3,50,100,32,7.95,0.97,1.18,136.16,0.32,0.3165602867802358,0.2635202957238294
0,1,1,0,1,1,0,1,1,0,3,0,100,25,7.3,1.11,1.19,159.29,0.25,0.2498936201135691,0.2635089950007825
1,1,0,1,1,1,1,0,1,1,5,100,100,25,7.18,1.05,1.06,123.94,0.25,0.2498936201135691,0.2635036427243376
1,1,1,0,0,0,1,1,1,1,5,0,100,31,7.96,1.0,1.24,153.43,0.31,0.30703647725642624,0.2634851836173608
0,1,1,1,0,1,1,1,0,1,3,100,100,38,9.21,1.82,1.63,145.11,0.38,0.3737031439230929,0.26346464681210174
1,0,0,1,1,0,1,1,0,1,5,50,100,36,8.78,1.48,1.94,147.48,0.36,0.35465552487547386,0.263436803231979
1,0,1,0,1,0,0,1,0,0,5,50,100,33,8.77,1.71,1.64,153.49,0.33,0.3260840963040453,0.2634147203625602
1,1,1,0,1,1,0,0,0,1,3,0,100,26,6.6,1.26,1.23,139.13,0.26,0.2594174296373786,0.26341154036316944
1,1,0,1,0,1,1,1,1,1,5,100,100,27,8.05,1.31,1.65,136.95,0.27,0.2689412391611882,0.2633613212382815
1,0,0,1,0,1,1,0,1,1,3,0,100,29,8.28,1.38,1.6,162.57,0.29,0.2879888582088072,0.2633372336897294
1,1,1,0,1,1,0,1,0,0,3,0,100,29,8.32,1.24,1.76,146.53,0.29,0.2879888582088072,0.2633049349845059
0,1,1,1,0,0,1,1,0,1,3,100,100,17,5.91,0.58,0.95,147.7,0.17,0.1737031439230929,0.2632983389843193
1,1,0,1,0,1,0,1,1,0,5,50,100,27,7.32,1.46,1.46,132.29,0.27,0.2689412391611882,0.2632925026634335
1,1,0,1,1,0,1,0,1,1,3,100,100,25,7.27,1.45,1.72,131.47,0.25,0.2498936201135691,0.2632892943003373
1,0,1,1,1,1,1,1,1,1,5,100,100,29,8.16,1.96,1.87,137.93,0.29,0.2879888582088072,0.26328177386676554
0,1,1,1,1,0,0,1,1,0,5,50,100,31,8.15,2.04,1.82,133.04,0.31,0.30703647725642624,0.26327480939096387
1,0,0,0,0,1,0,0,0,0,3,50,100,24,7.4,0.88,1.36,163.01,0.24,0.2403698105897596,0.2632092821563266
1,1,0,1,0,1,1,1,0,1,5,0,100,23,6.41,1.16,0.83,140.68,0.23,0.23084600106595005,0.26318512983951015
1,0,1,0,0,1,1,1,0,1,3,100,100,32,7.87,1.19,1.54,143.77,0.32,0.3165602867802358,0.26317608464510284
