buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,n_games,wins,avg_props,avg_houses,avg_hotels,avg_turns,raw_win_rate,smoothed_win_rate
0,1,0,0,0,1,1,0,1,0,3,100,100,24,6.01,1.11,1.31,117.47,0.24,0.2403698105897596
0,1,0,0,0,1,1,0,1,0,5,0,100,16,5.83,1.12,0.84,165.6,0.16,0.1641793343992834
0,1,0,0,0,1,1,0,1,0,5,50,100,31,8.4,1.63,1.66,150.62,0.31,0.30703647725642624
0,1,0,0,0,1,1,0,1,0,5,100,100,24,7.0,0.94,1.29,147.19,0.24,0.2403698105897596
0,1,0,0,0,1,1,0,1,1,3,0,100,22,7.67,1.75,1.49,151.51,0.22,0.22132219154214053
0,1,0,0,0,1,1,0,1,1,3,50,100,26,7.5,1.37,1.49,160.66,0.26,0.2594174296373786
0,1,0,0,0,1,1,0,1,1,3,100,100,31,9.81,2.23,1.92,110.23,0.31,0.30703647725642624
0,1,0,0,0,1,1,0,1,1,5,0,100,22,6.02,0.85,1.23,117.05,0.22,0.22132219154214053
0,1,0,0,0,1,1,0,1,1,5,50,100,26,6.27,0.97,0.72,149.89,0.26,0.2594174296373786
0,1,0,0,0,1,1,0,1,1,5,100,100,20,5.55,1.13,0.88,132.86,0.2,0.2022745724945215
0,1,0,0,0,1,1,1,0,0,3,0,100,24,6.23,1.18,1.05,146.96,0.24,0.2403698105897596
0,1,0,0,0,1,1,1,0,0,3,50,100,16,5.5,0.71,0.93,135.51,0.16,0.1641793343992834
0,1,0,0,0,1,1,1,0,0,3,100,100,28,7.89,1.55,1.74,141.22,0.28,0.27846504868499766
0,1,0,0,0,1,1,1,0,0,5,0,100,26,7.21,1.06,1.2,142.4,0.26,0.2594174296373786
0,1,0,0,0,1,1,1,0,0,5,50,100,25,6.69,1.05,1.27,147.66,0.25,0.2498936201135691
0,1,0,0,0,1,1,1,0,0,5,100,100,23,7.14,0.78,1.41,132.79,0.23,0.23084600106595005
0,1,0,0,0,1,1,1,0,1,3,0,100,19,5.57,1.18,1.03,107.27,0.19,0.19275076297071195
0,1,0,0,0,1,1,1,0,1,3,50,100,20,7.04,0.95,1.19,135.78,0.2,0.2022745724945215
0,1,0,0,0,1,1,1,0,1,3,100,100,23,5.82,1.34,0.95,142.48,0.23,0.23084600106595005
0,1,0,0,0,1,1,1,0,1,5,0,100,31,8.15,1.57,1.63,139.36,0.31,0.30703647725642624
0,1,0,0,0,1,1,1,0,1,5,50,100,31,7.76,1.3,1.56,132.71,0.31,0.30703647725642624
0,1,0,0,0,1,1,1,0,1,5,100,100,27,7.34,1.1,1.53,131.11,0.27,0.2689412391611882
0,1,0,0,0,1,1,1,1,0,3,0,100,20,6.49,1.04,1.16,166.03,0.2,0.2022745724945215
0,1,0,0,0,1,1,1,1,0,3,50,100,21,5.81,1.2,0.82,132.49,0.21,0.211798382018331
0,1,0,0,0,1,1,1,1,0,3,100,100,30,7.82,1.48,1.29,142.38,0.3,0.2975126677326167
0,1,0,0,0,1,1,1,1,0,5,0,100,14,4.47,0.52,0.44,152.12,0.14,0.14513171535166436
0,1,0,0,0,1,1,1,1,0,5,50,100,23,7.53,1.13,1.23,152.05,0.23,0.23084600106595005
0,1,0,0,0,1,1,1,1,0,5,100,100,28,7.65,1.45,1.05,137.05,0.28,0.27846504868499766
0,1,0,0,0,1,1,1,1,1,3,0,100,17,5.07,1.19,0.97,124.8,0.17,0.1737031439230929
0,1,0,0,0,1,1,1,1,1,3,50,100,24,6.22,1.39,1.17,122.95,0.24,0.2403698105897596
0,1,0,0,0,1,1,1,1,1,3,100,100,17,4.75,0.35,0.56,148.24,0.17,0.1737031439230929
0,1,0,0,0,1,1,1,1,1,5,0,100,31,7.41,1.64,1.38,132.39,0.31,0.30703647725642624
0,1,0,0,0,1,1,1,1,1,5,50,100,24,7.29,1.93,1.32,154.06,0.24,0.2403698105897596
0,1,0,0,0,1,1,1,1,1,5,100,100,21,6.2,0.97,1.02,149.82,0.21,0.211798382018331
0,1,0,0,1,0,0,0,0,0,3,0,100,16,5.67,0.67,0.83,152.99,0.16,0.1641793343992834
0,1,0,0,1,0,0,0,0,0,3,50,100,27,7.68,0.84,1.44,144.77,0.27,0.2689412391611882
0,1,0,0,1,0,0,0,0,0,3,100,100,23,6.0,0.86,0.97,146.53,0.23,0.23084600106595005
0,1,0,0,1,0,0,0,0,0,5,0,100,29,8.5,2.05,1.79,113.17,0.29,0.2879888582088072
0,1,0,0,1,0,0,0,0,0,5,50,100,19,5.33,0.54,0.65,139.16,0.19,0.19275076297071195
0,1,0,0,1,0,0,0,0,0,5,100,100,22,5.92,0.65,0.91,167.41,0.22,0.22132219154214053
0,1,0,0,1,0,0,0,0,1,3,0,100,30,7.25,0.73,1.06,168.59,0.3,0.2975126677326167
0,1,0,0,1,0,0,0,0,1,3,50,100,18,5.72,0.88,0.91,156.18,0.18,0.18322695344690243
0,1,0,0,1,0,0,0,0,1,3,100,100,24,7.46,1.18,1.64,125.71,0.24,0.2403698105897596
0,1,0,0,1,0,0,0,0,1,5,0,100,24,6.77,0.77,1.04,179.09,0.24,0.2403698105897596
0,1,0,0,1,0,0,0,0,1,5,50,100,24,7.35,0.98,1.33,178.54,0.24,0.2403698105897596
0,1,0,0,1,0,0,0,0,1,5,100,100,31,7.55,1.6,1.43,140.49,0.31,0.30703647725642624
