buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,pred_avg_win_regressor,pred_game_win_prob_classifier
1,1,0,1,0,1,0,1,1,0,3,0,0.24945151344444993,0.2498561656892218
0,1,0,0,1,0,0,0,1,0,5,0,0.23357308468489593,0.24983852679079308
0,1,0,0,0,1,1,0,0,0,5,0,0.2532158195365324,0.24983246203696158
0,1,0,1,0,1,1,0,0,1,5,100,0.23365384266344374,0.24979638907486276
1,1,1,1,0,1,0,1,1,0,3,0,0.24840133383941704,0.2497926123253907
0,1,1,0,0,0,0,1,1,0,5,0,0.24598307163299968,0.24977166652839228
1,1,1,0,0,1,0,1,1,0,3,0,0.2452838255646318,0.2497696093362706
0,1,0,1,0,1,1,1,1,0,5,0,0.25204862478499,0.24976121290713243
0,1,0,0,1,0,1,0,0,0,3,0,0.258407837893478,0.2497542377799149
0,1,0,0,0,0,1,1,0,1,3,0,0.2742030072080415,0.24975407519475462
0,1,0,0,0,0,1,1,0,1,5,0,0.2881468019923119,0.2497408030764233
1,1,1,1,0,1,1,1,1,0,3,0,0.23360745458150292,0.2497339988720549
0,1,0,1,0,0,0,0,0,0,3,0,0.24721007798840214,0.24973138903999176
0,1,0,1,1,0,0,0,1,1,5,0,0.2528035742958078,0.24972851751543237
1,1,0,1,0,1,1,1,1,0,3,0,0.2561851188100523,0.24971985019592746
1,0,0,1,1,1,0,1,1,1,3,50,0.2501788921462481,0.2497115698853991
1,0,1,0,0,1,0,1,1,0,3,0,0.24370762670416535,0.24970590285473157
0,1,1,1,0,0,0,0,1,0,5,0,0.23362108655433256,0.2496911113055565
1,0,0,1,1,1,0,1,1,0,3,50,0.24397979402211903,0.24967177146114744
0,1,0,1,1,1,0,0,0,0,5,0,0.22164460252069143,0.2496714410218424
0,1,0,1,1,0,0,0,1,1,3,0,0.2534782222783387,0.2496712552147342
1,1,0,0,0,1,0,1,1,0,3,0,0.25276033747084936,0.24966032261161378
0,1,1,1,1,0,0,0,0,0,5,0,0.21528163396294542,0.24964959285025629
0,1,0,1,1,1,0,0,1,0,3,0,0.2429918768702891,0.24963914884812385
0,1,1,0,0,0,0,0,1,0,5,0,0.21554469411675997,0.24963466274269405
0,1,0,0,1,1,0,0,1,0,3,0,0.2322758864173199,0.2496341464785397
0,1,1,1,0,0,0,1,0,0,3,0,0.23258689202930274,0.24959248179739885
0,1,0,1,0,1,0,0,0,0,5,0,0.2499552817313006,0.2495918693517294
0,1,1,0,0,0,1,1,0,1,5,0,0.2781992022148361,0.2495895604456379
0,1,0,1,0,0,0,1,1,0,5,0,0.24840049241469978,0.24957930163464415
0,1,1,0,1,0,0,1,0,1,3,50,0.23978181573678742,0.2495647565391847
0,1,1,0,0,0,1,1,0,1,3,0,0.2725592773428068,0.2495486036429218
0,1,1,0,1,1,1,1,1,1,3,100,0.2695334210010111,0.24954809343514603
0,1,0,1,1,1,0,0,0,0,3,0,0.2328548084145379,0.24954142164764775
0,1,0,1,0,1,0,1,0,0,5,0,0.24629838941936052,0.24952121064134847
0,1,1,0,0,0,0,1,0,0,5,0,0.24551855496061295,0.2495171242458138
0,1,1,1,0,0,0,1,0,0,5,0,0.2517074754657687,0.24951700826656226
0,1,1,0,0,1,0,1,0,0,5,100,0.22673818239839608,0.24951645457101854
1,1,0,0,0,1,1,1,1,0,3,0,0.24646851560005664,0.24951470497281134
1,1,1,0,0,1,1,1,1,0,3,0,0.23642130078057583,0.2495130619350204
0,1,0,1,1,1,1,0,1,0,5,0,0.23637144361191814,0.2494901854865666
0,1,0,0,1,1,1,0,0,1,3,100,0.25405959010433254,0.24946394483194193
0,1,1,0,0,0,0,1,1,1,3,100,0.25303041981938035,0.24943483349344292
1,0,0,1,1,1,1,1,1,1,3,50,0.241602781796195,0.24942695603085338
1,1,1,0,1,0,0,1,0,1,3,50,0.2375136956851417,0.24942640506278985
0,1,1,0,1,0,0,1,0,0,3,50,0.25412266654123417,0.24942054993123927
0,1,1,1,1,1,0,0,0,0,5,0,0.23674105195442194,0.2494087965691482
0,1,0,0,1,0,0,1,1,0,3,50,0.243453435116415,0.24940070651231833
0,1,0,0,1,1,0,0,0,0,3,0,0.23418286150651374,0.24939902678642611
0,1,0,1,0,0,0,0,1,0,5,0,0.23730916145233302,0.2493944622377448
0,1,1,1,1,0,0,1,0,0,3,50,0.2357961281959932,0.249393198023041
1,0,0,0,0,1,0,1,1,0,3,0,0.21613985388239165,0.24937732624708914
1,0,0,1,1,0,0,0,1,1,5,100,0.24657170677330273,0.2493687514184772
0,1,0,1,0,1,1,0,1,0,3,0,0.25392780400491416,0.24935746303307046
0,1,1,0,1,1,1,1,0,1,5,100,0.21596974920611742,0.24935615182211152
0,1,1,1,1,0,0,0,1,1,5,50,0.2602542340528367,0.2493413558785751
0,1,0,1,0,1,1,0,1,0,5,0,0.24679531619554237,0.24933384005484083
1,1,1,1,1,1,1,0,0,1,3,100,0.2410163600384866,0.24933212080410988
0,1,1,1,1,0,0,0,1,1,3,50,0.25671484616283957,0.24933041886312082
0,1,1,0,0,1,0,0,1,0,5,100,0.22727001014736564,0.24932451041190373
0,1,1,0,0,1,1,0,0,0,5,100,0.24432498879934114,0.24931899546534358
1,1,1,0,1,1,1,0,0,1,3,100,0.23675665940613025,0.2493146863928713
0,1,0,1,0,1,1,1,0,1,5,100,0.23360458387237718,0.24931033525239554
