buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,predicted_win_prob,owned_sets,rank,points
1,1,1,1,1,0,0,0,1,1,4,50.0,0.10871456272956023,"brown, light_blue, pink, orange, red, stations, utilities",94,94
1,1,0,0,1,1,0,0,0,0,4,50.0,0.10869294140805745,"brown, light_blue, red, yellow",95,95
1,1,0,1,1,1,0,1,1,0,4,50.0,0.10864932986313824,"brown, light_blue, orange, red, yellow, indigo, stations",96,96
0,0,0,0,1,1,1,1,0,1,4,50.0,0.10864853668767979,"red, yellow, green, indigo, utilities",97,97
1,1,1,1,0,1,1,0,0,0,4,50.0,0.10862956585148997,"brown, light_blue, pink, orange, yellow, green",98,98
1,1,1,1,0,1,1,0,1,0,4,50.0,0.10862338760166812,"brown, light_blue, pink, orange, yellow, green, stations",99,99
1,1,1,1,0,0,0,0,1,0,4,50.0,0.1086032982681294,"brown, light_blue, pink, orange, stations",100,100
1,1,1,1,0,0,1,0,0,1,4,50.0,0.10855229739500767,"brown, light_blue, pink, orange, green, utilities",101,101
1,1,1,1,1,1,0,0,0,0,4,50.0,0.10852608382608686,"brown, light_blue, pink, orange, red, yellow",102,102
1,1,1,1,1,0,1,0,1,0,4,50.0,0.10847946367696745,"brown, light_blue, pink, orange, red, green, stations",103,103
1,1,0,1,1,0,0,1,0,0,4,50.0,0.10847844991413302,"brown, light_blue, orange, red, indigo",104,104
1,1,1,1,0,0,1,0,0,0,4,50.0,0.10845711113155201,"brown, light_blue, pink, orange, green",105,105
1,1,0,1,1,1,0,1,0,0,4,50.0,0.10845381882964475,"brown, light_blue, orange, red, yellow, indigo",106,106
1,1,0,0,1,1,1,0,0,0,4,50.0,0.10844996025458586,"brown, light_blue, red, yellow, green",107,107
1,1,0,1,0,0,0,0,1,0,4,50.0,0.1084024847982988,"brown, light_blue, orange, stations",108,108
1,1,0,1,0,0,1,0,0,1,4,50.0,0.10834640055524074,"brown, light_blue, orange, green, utilities",109,109
1,1,1,1,1,1,0,1,0,0,4,50.0,0.10834504204878861,"brown, light_blue, pink, orange, red, yellow, indigo",110,110
1,1,0,1,1,0,1,0,0,1,4,50.0,0.10834377834890821,"brown, light_blue, orange, red, green, utilities",111,111
1,1,0,1,1,0,0,0,0,0,4,50.0,0.10831966690303492,"brown, light_blue, orange, red",112,112
1,1,1,1,0,0,0,0,1,1,4,50.0,0.10830714090961142,"brown, light_blue, pink, orange, stations, utilities",113,113
1,1,1,0,1,1,0,1,1,0,4,50.0,0.10830643585876523,"brown, light_blue, pink, red, yellow, indigo, stations",114,114
1,1,1,1,0,1,0,1,1,0,4,50.0,0.10830611673862207,"brown, light_blue, pink, orange, yellow, indigo, stations",115,115
1,1,1,1,1,1,0,0,0,1,4,50.0,0.10830440562544649,"brown, light_blue, pink, orange, red, yellow, utilities",116,116
1,1,1,1,1,1,0,0,1,0,4,50.0,0.10828647752259121,"brown, light_blue, pink, orange, red, yellow, stations",117,117
1,1,1,1,0,0,0,1,0,1,4,50.0,0.10828193673383417,"brown, light_blue, pink, orange, indigo, utilities",118,118
1,1,0,1,1,0,1,0,1,1,4,50.0,0.10827775842642409,"brown, light_blue, orange, red, green, stations, utilities",119,119
1,1,1,0,1,1,1,1,0,1,4,50.0,0.10826832223098415,"brown, light_blue, pink, red, yellow, green, indigo, utilities",120,120
1,1,1,1,1,0,0,0,1,0,4,50.0,0.10825603706534326,"brown, light_blue, pink, orange, red, stations",121,121
1,1,1,1,0,1,1,1,0,1,4,50.0,0.10824217144627894,"brown, light_blue, pink, orange, yellow, green, indigo, utilities",122,122
1,1,1,1,1,1,1,1,0,0,4,50.0,0.10822529960813917,"brown, light_blue, pink, orange, red, yellow, green, indigo",123,123
1,1,1,1,0,1,0,0,0,1,4,50.0,0.10821123366548276,"brown, light_blue, pink, orange, yellow, utilities",124,124
1,1,1,1,0,0,0,1,1,0,4,50.0,0.10818856359437187,"brown, light_blue, pink, orange, indigo, stations",125,125
1,1,1,0,1,1,0,0,1,0,4,50.0,0.1081854047886482,"brown, light_blue, pink, red, yellow, stations",126,126
1,1,1,1,0,0,1,0,1,0,4,50.0,0.10817880859070146,"brown, light_blue, pink, orange, green, stations",127,127
0,1,0,1,0,0,0,1,1,1,4,50.0,0.10817501844592585,"light_blue, orange, indigo, stations, utilities",128,128
1,1,1,0,1,1,0,0,1,1,4,50.0,0.10816702911076928,"brown, light_blue, pink, red, yellow, stations, utilities",129,129
1,1,1,1,0,1,1,1,0,0,4,50.0,0.10813549833637297,"brown, light_blue, pink, orange, yellow, green, indigo",130,130
1,1,0,1,1,1,0,0,0,0,4,50.0,0.10808293563183895,"brown, light_blue, orange, red, yellow",131,131
1,1,1,1,0,1,0,0,1,1,4,50.0,0.10803368816027295,"brown, light_blue, pink, orange, yellow, stations, utilities",132,132
1,1,0,1,1,1,1,0,0,0,4,50.0,0.10802619828720372,"brown, light_blue, orange, red, yellow, green",133,133
1,1,1,0,1,1,1,0,0,1,4,50.0,0.1080212268457829,"brown, light_blue, pink, red, yellow, green, utilities",134,134
1,0,0,0,1,1,1,1,1,1,4,50.0,0.10800899668075999,"brown, red, yellow, green, indigo, stations, utilities",135,135
1,1,1,1,0,0,1,1,1,1,4,50.0,0.10798660904876019,"brown, light_blue, pink, orange, green, indigo, stations, utilities",136,136
1,1,1,1,1,1,0,0,1,1,4,50.0,0.10798571671168311,"brown, light_blue, pink, orange, red, yellow, stations, utilities",137,137
1,1,1,1,1,1,1,0,0,0,4,50.0,0.1079630519131188,"brown, light_blue, pink, orange, red, yellow, green",138,138
1,1,1,0,1,1,1,0,1,0,4,50.0,0.10795152538731967,"brown, light_blue, pink, red, yellow, green, stations",139,139
0,0,0,1,1,1,0,1,1,0,4,50.0,0.10794293159470739,"orange, red, yellow, indigo, stations",140,140
0,1,0,0,1,1,0,1,1,0,4,50.0,0.10789015579734831,"light_blue, red, yellow, indigo, stations",141,141
1,1,1,1,1,0,0,0,0,0,4,50.0,0.10786078922581137,"brown, light_blue, pink, orange, red",142,142
1,1,0,1,1,0,0,1,1,1,4,50.0,0.10785939437568906,"brown, light_blue, orange, red, indigo, stations, utilities",143,143
1,1,0,0,0,1,0,1,1,1,4,50.0,0.10784921579634195,"brown, light_blue, yellow, indigo, stations, utilities",144,144
1,1,1,1,0,1,0,1,0,0,4,50.0,0.1078337342693306,"brown, light_blue, pink, orange, yellow, indigo",145,145
1,1,1,1,0,0,1,1,1,0,4,50.0,0.10782813827736737,"brown, light_blue, pink, orange, green, indigo, stations",146,146
1,1,0,1,1,0,1,1,0,0,4,50.0,0.1078242299180198,"brown, light_blue, orange, red, green, indigo",147,147
1,1,1,1,1,0,0,1,0,0,4,50.0,0.10781249911987763,"brown, light_blue, pink, orange, red, indigo",148,148
0,1,0,0,1,1,1,1,1,0,4,50.0,0.10780904471548822,"light_blue, red, yellow, green, indigo, stations",149,149
0,1,0,0,0,0,0,1,1,1,4,50.0,0.10780353415834654,"light_blue, indigo, stations, utilities",150,150
1,1,0,1,1,1,1,0,0,1,4,50.0,0.10776658502331138,"brown, light_blue, orange, red, yellow, green, utilities",151,151
0,1,0,0,1,0,0,1,0,1,4,50.0,0.10775259699813713,"light_blue, red, indigo, utilities",152,152
1,1,1,1,0,0,0,0,0,1,4,50.0,0.10775034929253083,"brown, light_blue, pink, orange, utilities",153,153
1,1,0,1,1,1,1,1,0,0,4,50.0,0.10774756387508848,"brown, light_blue, orange, red, yellow, green, indigo",154,154
1,1,1,1,0,1,1,0,1,1,4,50.0,0.10771870039873069,"brown, light_blue, pink, orange, yellow, green, stations, utilities",155,155
1,1,0,0,1,0,0,1,1,1,4,50.0,0.10770693028380618,"brown, light_blue, red, indigo, stations, utilities",156,156
1,1,0,1,1,1,1,0,1,1,4,50.0,0.10770242355667003,"brown, light_blue, orange, red, yellow, green, stations, utilities",157,157
0,1,0,0,0,1,1,1,1,1,4,50.0,0.10768025127456453,"light_blue, yellow, green, indigo, stations, utilities",158,158
1,1,1,0,1,1,1,0,0,0,4,50.0,0.10767914229166245,"brown, light_blue, pink, red, yellow, green",159,159
1,1,1,0,1,1,0,0,0,1,4,50.0,0.10759581306678619,"brown, light_blue, pink, red, yellow, utilities",160,160
1,1,1,0,1,1,0,0,0,0,4,50.0,0.10755133685475134,"brown, light_blue, pink, red, yellow",161,161
0,1,0,0,1,1,0,1,1,1,4,50.0,0.10753233879785477,"light_blue, red, yellow, indigo, stations, utilities",162,162
1,1,1,1,0,1,1,1,1,0,4,50.0,0.10746921996672709,"brown, light_blue, pink, orange, yellow, green, indigo, stations",163,163
1,1,1,1,1,0,1,0,0,1,4,50.0,0.10742574152190816,"brown, light_blue, pink, orange, red, green, utilities",164,164
0,1,0,0,1,0,1,1,0,1,4,50.0,0.10737037387639677,"light_blue, red, green, indigo, utilities",165,165
1,1,1,1,1,0,0,0,0,1,4,50.0,0.10734070211026905,"brown, light_blue, pink, orange, red, utilities",166,166
1,1,1,1,1,1,1,0,1,0,4,50.0,0.10732886102448516,"brown, light_blue, pink, orange, red, yellow, green, stations",167,167
0,1,0,1,0,1,0,1,0,1,4,50.0,0.10729201558329733,"light_blue, orange, yellow, indigo, utilities",168,168
1,0,0,0,1,0,1,1,1,1,4,50.0,0.10728708854908417,"brown, red, green, indigo, stations, utilities",169,169
1,1,1,0,1,1,1,1,1,1,4,50.0,0.10728673893543132,"brown, light_blue, pink, red, yellow, green, indigo, stations, utilities",170,170
0,1,0,0,1,0,1,1,1,1,4,50.0,0.1072709549319331,"light_blue, red, green, indigo, stations, utilities",171,171
1,1,1,1,0,0,0,0,0,0,4,50.0,0.10720390377685303,"brown, light_blue, pink, orange",172,172
0,1,0,0,1,0,0,1,1,1,4,50.0,0.10715301120454782,"light_blue, red, indigo, stations, utilities",173,173
0,1,0,0,0,0,1,1,0,1,4,50.0,0.10714696587881778,"light_blue, green, indigo, utilities",174,174
1,1,1,1,1,1,0,1,0,1,4,50.0,0.10711962724589999,"brown, light_blue, pink, orange, red, yellow, indigo, utilities",175,175
1,1,1,1,0,1,0,0,0,0,4,50.0,0.10709374564366517,"brown, light_blue, pink, orange, yellow",176,176
1,1,1,0,1,1,1,0,1,1,4,50.0,0.10708760440330838,"brown, light_blue, pink, red, yellow, green, stations, utilities",177,177
0,1,0,0,0,1,0,1,1,1,4,50.0,0.1070805374240775,"light_blue, yellow, indigo, stations, utilities",178,178
1,0,0,0,1,1,0,1,1,1,4,50.0,0.10698319591740972,"brown, red, yellow, indigo, stations, utilities",179,179
1,0,0,1,0,0,1,1,1,1,4,50.0,0.10697898268200165,"brown, orange, green, indigo, stations, utilities",180,180
